Name complex,room number,square,floor,Цена на 25.01.2022,Цена на 11.06.2022,Цена на 15.02.2023
complex URAL,1,45.43,23,111000,130000,172300

complex URAL,1,49.05,16,111000,130000,172300

complex URAL,1,49.05,17,111000,130000,172300

complex URAL,1,49.05,18,111000,130000,172300

complex URAL,1,49.05,19,111000,130000,172300

complex URAL,1,49.05,20,111000,130000,172300

complex URAL,1,49.05,21,111000,130000,172300

complex URAL,1,49.05,22,111000,130000,172300

complex URAL,1,49.05,23,111000,130000,172300

complex URAL,2,60.06,3,96000,118000,149800

complex URAL,2,60.06,4,96000,118000,149800

complex URAL,2,60.06,5,96000,118000,149800

complex URAL,2,60.06,6,96000,118000,149800

complex URAL,2,61.7,3,96000,118000,149800

complex URAL,2,61.7,4,96000,118000,149800

complex URAL,2,61.7,5,96000,118000,149800

complex URAL,2,61.7,6,96000,118000,149800

complex URAL,2,60.06,7,101000,120000,152100

complex URAL,2,60.06,8,101000,120000,152100

complex URAL,2,60.06,9,101000,120000,152100

complex URAL,2,60.06,10,101000,120000,152100

complex URAL,2,60.06,11,101000,120000,152100

complex URAL,2,60.06,12,101000,120000,152100

complex URAL,2,60.06,13,101000,120000,152100

complex URAL,2,60.06,14,101000,120000,152100

complex URAL,2,60.06,15,101000,120000,152100

complex URAL,2,61.7,7,101000,120000,152100

complex URAL,2,61.7,8,101000,120000,152100

complex URAL,2,61.7,9,101000,120000,152100

complex URAL,2,61.7,10,101000,120000,152100

complex URAL,2,61.7,11,101000,120000,152100

complex URAL,2,61.7,12,101000,120000,152100

complex URAL,2,61.7,13,101000,120000,152100

complex URAL,2,61.7,14,101000,120000,152100

complex URAL,2,61.7,15,101000,120000,152100

complex URAL,2,60.06,16,106000,125000,157700

complex URAL,2,60.06,17,106000,125000,157700

complex URAL,2,60.06,18,106000,125000,157700

complex URAL,2,60.06,19,106000,125000,157700

complex URAL,2,60.06,20,106000,125000,157700

complex URAL,2,60.06,21,106000,125000,157700

complex URAL,2,60.06,22,106000,125000,157700

complex URAL,2,60.06,23,106000,125000,157700

complex URAL,2,61.7,16,106000,125000,157700

complex URAL,2,61.7,17,106000,125000,157700

complex URAL,2,61.7,18,106000,125000,157700

complex URAL,2,61.7,19,106000,125000,157700

complex URAL,2,61.7,20,106000,125000,157700

